Activity,Last Touch Point,Cadence,Time to Next Touch Point,Time Since,Variance
Running,"Friday, July 10, 2026",Weekly,7,20,-13
Piano,"Saturday, July 18, 2026",Weekly,7,12,-5
Spritz,"Wednesday, July 1, 2026",Monthly,30,29,1
Tennis,"Wednesday, July 29, 2026",Weekly,7,1,6
Basketball,"Thursday, July 16, 2026",Monthly,30,14,16
Chess,"Saturday, July 18, 2026",Monthly,30,12,18
Scrabble,"Saturday, July 18, 2026",Monthly,30,12,18
Guitar,"Wednesday, July 22, 2026",Monthly,30,8,22
Hebrew,"Wednesday, July 22, 2026",Monthly,30,8,22
Dutch,"Wednesday, July 22, 2026",Monthly,30,8,22
Pool,"Wednesday, July 29, 2026",Monthly,30,1,29
Yoga,"Wednesday, July 29, 2026",Monthly,30,1,29
Ping pong,"Wednesday, July 29, 2026",Monthly,30,1,29
Harmonica,"Tuesday, June 16, 2026",Quarterly,90,44,46
Friz,"Saturday, July 18, 2026",Quarterly,90,12,78
