Quote,Quoter
"""Nothing is more powerful than an idea whose time has come.""",Victor Hugo
"""Why does it so often take a genius to see the obvious.""",Ashleigh Brilliant
"""The really great people are the ones who know how to make the little people feel great.""",Ashleigh Brilliant
"""The distance between insanity and genius is measured only by success.""",Bruce Feirstein
"""Be less curious about people and more curious about ideas.""",Marie Curie
"""The ones who are crazy enough to think that they can change the world are the ones who do.""",Steve Jobs
"""The only way to do great work is to love what you do.""",Steve Jobs
"""You can have anything you want. IF YOU DRESS FOR IT.""",Edith Head
"""Simplicity is the ultimate sophistication.""",Leonardo da Vinci
"""Whatever you do, do it well.""",Walt Disney
"""To live will be an awfully big adventure.""",Peter Pan
"""A happy soul is the best shield for a cruel world.""",Atticus
"""When words fail, music speaks.""",Shakespeare
"""He who is brave is free.""",Seneca
"""Wealth is the slave of a wise man and the master of a fool.""",Seneca
"""The greatest remedy for anger is delay.""",Seneca
"""It is the nature of the wise to resist pleasures, but the foolish to be a slave to them.""",Epictetus
"""All the good are friends of one another.""",Zeno
"""The fastest road to meaning and success: choose one thing and go all-in.""",Maxime Lagacé
"""Stay hungry, stay foolish.""",Steve Jobs
"""The secret of success is constancy of purpose.""",Benjamin Disraeli
"""Worry is a misuse of the imagination.""",Dan Zadra
"""Diligence is the mother of good fortune.""",Benjamin Disraeli
"""A bit of madness is key.""",La La Land
"""A kind word is never wasted.""",nil
"""Don’t let anyone become a vacuum and suck the happiness out of you.""",nil
"""Genius can be recognized by its childish simplicity.""",Chinese Proverb
"""The course of true love never did run smooth.""",Shakespeare
"""Expectation is the root of all heartache.""",Shakespeare
"""Brevity is the soul of wit.""",Shakespeare
"""God placed the best things in life on the other side of terror.""",Will Smith
"""The future belongs to those who believe in the beauty of their dreams.""",Eleanor Roosevelt
"""Tell me and I forget. Teach me and I remember. Involve me and I learn.""",Benjamin Franklin
"""Never let the fear of striking out keep you from playing the game.""",Babe Ruth
"""Many of life's failures are people who did not realize how close they were to success when they gave up.""",Thomas Edison
"""Life is really simple, but we insist on making it complicated.""",Confucius
"""Success usually comes to those who are too busy to be looking for it.""",Henry David Thoreau
"""The way to get started is to quit talking and begin doing.""",Walt Disney
"""Success is walking from failure to failure with no loss of enthusiasm.""",Winston Churchill
"""Don't be afraid to give up the good to go for the great.""",John D. Rockefeller
"""I would rather die of passion than of boredom.""",Vincent van Gogh
"""This is the real secret of life ― to be completely engaged with what you are doing in the here and now. And instead of calling it work, realize it is play.""",Alan Wilson Watts
"""Only those who will risk going too far can possibly find out how far one can go.""",T.S. Eliot
"""Everybody knows if you are too careful you are so occupied in being careful that you are sure to stumble over something.""",Gertrude Stein
"""The soul should always stand ajar, ready to welcome the ecstatic experience.""",Emily Dickinson
"""Only put off until tomorrow what you are willing to die having left undone.""",Pablo Picasso
"""Love recognizes no barriers. It jumps hurdles, leaps fences, penetrates walls to arrive at its destination full of hope.""",Maya Angelou
"""The fate of love is that it always seems too little or too much.""",Amelia Barr
"""When I saw you I fell in love. And you smiled because you knew.""",Arrigo Boito
"""I want the future to look like the future.""",Elon Musk
"""Strong people don’t put others down. They lift them up.""",Michael P. Watson
"""Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.""",Thomas Edison
"""Do I not destroy my enemies when I make them my friends?""",Abraham Lincoln
"""What is a friend? A single soul dwelling in two bodies.""",Aristotle
"""I would rather walk with a friend in the dark than alone in the light.""",Helen Keller
"""Logic will get you from A to Z; imagination will get you everywhere.""",Albert Einstein
"""Don’t cry because it’s over, smile because it happened.""",Dr. Seuss 
"""Knowledge which is acquired under compulsion obtains no hold on the mind.""",Plato
"""Necessity is the mother of invention.""",Plato
"""Surround yourself with only people who are going to lift you higher.""",Oprah
"""Success is your duty, obligation and responsibility.""",Grant Cardone
"""Comparison is the thief of joy.""",Theodore Roosevelt
"""Don't suffer imagined troubles.""",Seneca
"""True happiness is to enjoy the present, without anxious dependence upn the future.""",Seneca
"""To bear trials with a calm mind robs misfortune of its strength and burden.""",Seneca
"""It is not that we have little time, but more that we waste a good deal of it.""",Seneca
"""How far that little candle throws his beams, so shines a good deed in a weary world.""",William Shakespeare
"""Passion is energy.Feel the power that comes from focusing on what excites you.""",Oprah
"""Just one positive thought in the morning can change your whole day.""",The Dalai Lama
"""Quiet people have the loudest minds.""",Stephen Hawking
"""Mankind's greatest achievments have come about by talking, and it's greatest failures by not talking.""",Stephen Hawking
"""It is very important for young people to keep their sense of wonder and keep asking why.""",Stephen Hawking
"""You must never be fearful about what you are doing when it is right.""",Rosa Parks
"""One person can change the world.""",Rosa Parks
