Datetime,Temp (°C),Feels Like (°C),Min Temp (°C),Max Temp (°C),Humidity (%),Weather,Wind Speed (m/s),Clouds (%)
2026-07-31 09:00,20.56,20.94,19.3,20.56,87,clear sky,1.95,10
2026-07-31 12:00,21.84,22.04,21.84,22.17,75,clear sky,2.26,5
2026-07-31 15:00,28.42,28.64,28.42,28.42,47,scattered clouds,1.85,28
2026-07-31 18:00,33.0,33.17,33.0,33.0,37,few clouds,0.83,23
2026-07-31 21:00,30.56,30.77,30.56,30.56,43,broken clouds,4.15,79
2026-08-01 00:00,27.07,27.88,27.07,27.07,56,broken clouds,4.23,69
2026-08-01 03:00,24.69,24.94,24.69,24.69,66,scattered clouds,3.65,47
2026-08-01 06:00,21.76,21.92,21.76,21.76,74,scattered clouds,3.44,38
2026-08-01 09:00,20.43,20.43,20.43,20.43,73,scattered clouds,2.31,32
2026-08-01 12:00,24.31,24.44,24.31,24.31,63,broken clouds,2.05,65
2026-08-01 15:00,30.15,31.27,30.15,30.15,50,broken clouds,2.73,53
2026-08-01 18:00,34.56,37.92,34.56,34.56,45,broken clouds,5.24,74
2026-08-01 21:00,30.38,32.35,30.38,30.38,54,overcast clouds,6.91,100
2026-08-02 00:00,27.39,28.95,27.39,27.39,64,overcast clouds,6.23,100
2026-08-02 03:00,25.4,25.82,25.4,25.4,70,overcast clouds,5.05,100
2026-08-02 06:00,24.51,24.87,24.51,24.51,71,overcast clouds,3.48,92
2026-08-02 09:00,23.79,24.18,23.79,23.79,75,overcast clouds,2.74,96
2026-08-02 12:00,24.62,25.04,24.62,24.62,73,overcast clouds,3.99,98
2026-08-02 15:00,27.74,28.88,27.74,27.74,58,overcast clouds,5.33,100
2026-08-02 18:00,27.17,28.38,27.17,27.17,61,overcast clouds,7.13,98
2026-08-02 21:00,26.14,26.14,26.14,26.14,67,overcast clouds,7.62,100
2026-08-03 00:00,25.14,25.64,25.14,25.14,74,overcast clouds,6.08,100
2026-08-03 03:00,24.56,25.26,24.56,24.56,84,overcast clouds,5.18,98
2026-08-03 06:00,24.58,25.34,24.58,24.58,86,overcast clouds,3.5,99
2026-08-03 09:00,24.13,24.92,24.13,24.13,89,light rain,1.89,100
2026-08-03 12:00,24.4,25.19,24.4,24.4,88,light rain,2.0,100
2026-08-03 15:00,28.03,31.0,28.03,28.03,72,light rain,4.08,99
2026-08-03 18:00,27.63,30.56,27.63,27.63,75,light rain,5.31,100
2026-08-03 21:00,27.72,30.88,27.72,27.72,76,light rain,6.2,88
2026-08-04 00:00,24.41,25.31,24.41,24.41,92,moderate rain,4.69,94
2026-08-04 03:00,24.12,24.83,24.12,24.12,86,overcast clouds,3.54,100
2026-08-04 06:00,23.65,24.42,23.65,23.65,90,light rain,4.07,94
2026-08-04 09:00,22.89,23.61,22.89,22.89,91,overcast clouds,3.83,93
2026-08-04 12:00,23.65,24.32,23.65,23.65,86,overcast clouds,3.41,95
2026-08-04 15:00,26.0,26.0,26.0,26.0,76,light rain,2.89,99
2026-08-04 18:00,27.15,29.39,27.15,27.15,73,moderate rain,2.59,99
2026-08-04 21:00,27.07,29.33,27.07,27.07,74,light rain,4.13,93
2026-08-05 00:00,26.36,26.36,26.36,26.36,78,light rain,2.38,97
2026-08-05 03:00,24.86,25.65,24.86,24.86,86,moderate rain,4.6,100
2026-08-05 06:00,24.07,24.86,24.07,24.07,89,light rain,2.7,100
