Datetime,Temp (°C),Feels Like (°C),Min Temp (°C),Max Temp (°C),Humidity (%),Weather,Wind Speed (m/s),Clouds (%)
2026-07-02 09:00,19.46,19.16,19.46,20.05,65,scattered clouds,7.93,42
2026-07-02 12:00,19.48,19.36,19.48,19.64,72,light rain,7.04,61
2026-07-02 15:00,22.34,21.8,22.34,22.34,45,light rain,8.6,44
2026-07-02 18:00,20.22,19.84,20.22,20.22,59,few clouds,5.24,22
2026-07-02 21:00,16.22,15.83,16.22,16.22,74,clear sky,2.87,0
2026-07-03 00:00,13.11,12.64,13.11,13.11,83,clear sky,3.18,0
2026-07-03 03:00,13.14,12.73,13.14,13.14,85,clear sky,3.2,1
2026-07-03 06:00,17.41,17.03,17.41,17.41,70,clear sky,3.28,0
2026-07-03 09:00,21.17,20.62,21.17,21.17,49,few clouds,5.56,12
2026-07-03 12:00,21.82,21.0,21.82,21.82,36,scattered clouds,6.44,35
2026-07-03 15:00,22.13,21.42,22.13,22.13,39,few clouds,6.25,17
2026-07-03 18:00,20.13,19.5,20.13,20.13,50,few clouds,4.01,13
2026-07-03 21:00,15.98,15.36,15.98,15.98,66,scattered clouds,2.52,41
2026-07-04 00:00,12.72,12.03,12.72,12.72,76,scattered clouds,2.01,40
2026-07-04 03:00,10.89,10.12,10.89,10.89,80,few clouds,2.41,12
2026-07-04 06:00,15.45,14.7,15.45,15.45,63,few clouds,4.2,18
2026-07-04 09:00,21.75,21.26,21.75,21.75,49,clear sky,5.55,8
2026-07-04 12:00,24.84,24.45,24.84,24.84,41,few clouds,6.93,12
2026-07-04 15:00,24.66,24.38,24.66,24.66,46,broken clouds,6.38,61
2026-07-04 18:00,23.61,23.44,23.61,23.61,54,scattered clouds,4.38,47
2026-07-04 21:00,18.38,18.02,18.38,18.38,67,scattered clouds,3.3,41
2026-07-05 00:00,19.74,19.6,19.74,19.74,70,broken clouds,4.06,70
2026-07-05 03:00,16.14,16.24,16.14,16.14,93,light rain,2.5,71
2026-07-05 06:00,19.19,19.15,19.19,19.19,76,broken clouds,5.81,77
2026-07-05 09:00,20.48,20.25,20.48,20.48,64,light rain,6.32,82
2026-07-05 12:00,20.36,20.04,20.36,20.36,61,light rain,6.82,91
2026-07-05 15:00,19.68,19.32,19.68,19.68,62,light rain,6.36,100
2026-07-05 18:00,18.93,18.58,18.93,18.93,65,overcast clouds,5.01,100
2026-07-05 21:00,14.36,14.15,14.36,14.36,88,broken clouds,2.62,78
2026-07-06 00:00,15.31,15.12,15.31,15.31,85,overcast clouds,2.25,89
2026-07-06 03:00,16.29,16.17,16.29,16.29,84,overcast clouds,2.76,100
2026-07-06 06:00,17.55,17.4,17.55,17.55,78,overcast clouds,4.37,94
2026-07-06 09:00,19.97,19.67,19.97,19.97,63,light rain,4.67,90
2026-07-06 12:00,21.29,20.99,21.29,21.29,58,overcast clouds,5.39,94
2026-07-06 15:00,22.91,22.61,22.91,22.91,52,broken clouds,5.98,84
2026-07-06 18:00,21.4,21.14,21.4,21.4,59,broken clouds,3.28,79
2026-07-06 21:00,17.08,16.85,17.08,17.08,77,overcast clouds,2.21,100
2026-07-07 00:00,16.09,15.92,16.09,16.09,83,broken clouds,3.16,83
2026-07-07 03:00,15.51,15.34,15.51,15.51,85,overcast clouds,3.2,97
2026-07-07 06:00,18.84,18.71,18.84,18.84,74,overcast clouds,2.98,99
